date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:27	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Nov%202020%2005:03:26%20GMT	http://myfancy.app/is/SweetBrowser237	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/is/SweetBrowser237.0.delayed	(from )
10:33:29	20654/20654	---MCZ	200	added ('OK')	text/html	etag:W/%2250ae-+rEACpcL4eabYZTt+R0OYOFbtBs%22	https://myfancy.app/is/SweetBrowser237	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/is/SweetBrowser237.html	(from )
10:33:31	40/40	---M--	500	error ('Internal%20Server%20Error')	application/json	etag:W/%2228-aQp/WKrSnTVqRJnvmt2sh2/1/iM%22	https://myfancy.app/robots.txt		(from )
10:33:32	15428/15428	---MCZ	200	added ('OK')	text/css	etag:W/%223c44-1758ee65b05%22	https://myfancy.app/appClient.3.2.2.css	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/appClient.3.2.2.css	(from https://myfancy.app/is/SweetBrowser237)
10:33:33	180021/180021	---M--	200	added ('OK')	image/png	etag:W/%222bf35-1758ee65aed%22	https://myfancy.app/28a47b85d5b9a6fed68d6335aa04de9b.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/28a47b85d5b9a6fed68d6335aa04de9b.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:33	23698/23698	---M--	200	added ('OK')	image/png	etag:W/%225c92-1758ee65aed%22	https://myfancy.app/2b2d278539095bbe670a7db086312531.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/2b2d278539095bbe670a7db086312531.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:37	954434/954434	---M--	200	added ('OK')	image/png	etag:W/%22e9042-1758ee65aed%22	https://myfancy.app/3af80883b44419988ea829ae479bb30e.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/3af80883b44419988ea829ae479bb30e.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:37	2989/2989	---M--	200	added ('OK')	image/png	etag:W/%22bad-1758ee65aed%22	https://myfancy.app/3b37acad86fb205b7de579827925ec04.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/3b37acad86fb205b7de579827925ec04.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:38	15255/15255	---M--	200	added ('OK')	image/png	etag:W/%223b97-1758ee65aed%22	https://myfancy.app/168c8337cbe847c02ffb362b35fc9e30.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/168c8337cbe847c02ffb362b35fc9e30.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:39	303775/303775	---M--	200	added ('OK')	image/png	etag:W/%224a29f-1758ee65aed%22	https://myfancy.app/40c25e7ad0fa68740addbfb8b023f64a.png	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/40c25e7ad0fa68740addbfb8b023f64a.png	(from https://myfancy.app/is/SweetBrowser237)
10:33:42	1862021/1862021	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c6985-1758ee65b05%22	https://myfancy.app/appClient.3.2.2.js	C:/My%20Web%20Sites/Swwet%20Browser/myfancy.app/appClient.3.2.2.js	(from https://myfancy.app/is/SweetBrowser237)
